0.002559	-0.146241	1.000000
0.073722	0.042554	1.000000
-0.049798	-0.171956	1.000000
0.355188	0.216320	1.000000
-0.229576	-0.419294	1.000000
-0.396767	-0.130224	1.000000
-0.010490	0.470320	1.000000
0.112294	-0.035762	1.000000
0.078362	-0.082534	1.000000
0.020437	0.108141	1.000000
0.016893	0.248771	1.000000
0.028966	-0.050284	1.000000
-0.070935	0.104541	1.000000
0.135323	-0.343658	1.000000
0.018549	0.043155	1.000000
0.126627	-0.094589	1.000000
-0.191062	0.375232	1.000000
-0.209375	-0.260085	1.000000
-0.418407	-0.007963	1.000000
0.004702	-0.071234	1.000000
-0.358004	-0.023801	1.000000
-0.114642	-0.150921	1.000000
-0.117979	-0.422292	1.000000
-0.067271	0.116369	1.000000
-0.177757	0.010584	1.000000
0.247620	-0.179466	1.000000
0.113773	0.164782	1.000000
-0.015467	0.074184	1.000000
-0.178125	-0.348667	1.000000
0.128166	0.478865	1.000000
0.019207	0.152603	1.000000
-0.062083	0.028439	1.000000
-0.003535	-0.002942	1.000000
0.223360	0.316127	1.000000
0.270086	0.408890	1.000000
-0.349211	0.163090	1.000000
-0.153992	0.047097	1.000000
-0.048204	-0.276937	1.000000
-0.021447	-0.016823	1.000000
0.121241	-0.060673	1.000000
-0.017911	-0.162590	1.000000
-0.063839	-0.127400	1.000000
-0.146935	0.078227	1.000000
0.404819	-0.052683	1.000000
0.167613	-0.350821	1.000000
